style_id,training_style,display_name,search_focus,preferred_object_types,query_terms,exclude_terms,preferred_sources,source_links,rights_gates,screening_notes
dior,paris_new_look,Parisian Couture,"Poised tailored silhouettes, waisted couture balance, watercolor-soft fashion studies.",fashion plate | couture illustration | tailored outerwear sketch | dress design drawing,fashion plate tailored suit watercolor illustration | couture dress design graphite watercolor drawing | hourglass silhouette fashion illustration outerwear sketch,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,The Met Open Access | NYPL Public Domain Collections | Library of Congress | Europeana,https://www.metmuseum.org/hubs/open-access | https://www.nypl.org/research/collections/digital-collections/public-domain | https://www.loc.gov/item/2004550225/ | https://www.europeana.eu/en/themes/fashion,"Only keep records with isPublicDomain=true and a downloadable primaryImage. | Only keep items surfaced through NYPL public-domain search or item pages that state no restrictions on use. | Keep only items whose record says 'Rights Advisory: No known restrictions on publication' or an equivalent unrestricted rights statement. | Keep CC0, Public Domain Mark, CC BY, or CC BY-SA only. Skip InC, InC-EDU, NoC-NC, CNE, and other restricted statements.","Prefer waist emphasis, soft watercolor, polished presentation pages. | Do not ingest direct designer-name copies or house-labelled archival reproductions."
balenciaga,architectural_volume,Sculptural Elegance,"Architectural contour, cocoon volume, restrained atelier draftsmanship.",costume design drawing | architectural fashion sketch | gouache design plate | tailoring study,costume design drawing sculptural volume | architectural silhouette fashion illustration gouache | structured coat dress design sketch graphite,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,The Met Open Access | Cooper Hewitt Open Source | Europeana | NYPL Public Domain Collections,https://www.metmuseum.org/hubs/open-access | https://www.cooperhewitt.org/open-source-at-cooper-hewitt/ | https://www.europeana.eu/en/themes/fashion | https://www.nypl.org/research/collections/digital-collections/public-domain,"Only keep records with isPublicDomain=true and a downloadable primaryImage. | Verify item-level media rights before download; keep only openly reusable records/media. | Keep CC0, Public Domain Mark, CC BY, or CC BY-SA only. Skip InC, InC-EDU, NoC-NC, CNE, and other restricted statements. | Only keep items surfaced through NYPL public-domain search or item pages that state no restrictions on use.",Favor clean negative space and sculpted mass over decorative surface print.
schiaparelli,surreal_gold,Surreal Ornament,"Surreal couture ornament, sharp ink, metallic or luminous accent cues.",fantasy costume sketch | surreal fashion illustration | ornamental costume design,surreal costume design drawing metallic ornament | fantasy fashion illustration ink gold accent | avant garde costume sketch surreal drawing,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,NYPL Public Domain Collections | Smithsonian Open Access | Europeana | Cooper Hewitt Open Source,https://www.nypl.org/research/collections/digital-collections/public-domain | https://www.si.edu/openaccess | https://www.europeana.eu/en/themes/fashion | https://www.cooperhewitt.org/open-source-at-cooper-hewitt/,"Only keep items surfaced through NYPL public-domain search or item pages that state no restrictions on use. | Only keep items explicitly marked CC0. Skip 'usage conditions apply' and skip non-CC0 media. | Keep CC0, Public Domain Mark, CC BY, or CC BY-SA only. Skip InC, InC-EDU, NoC-NC, CNE, and other restricted statements. | Verify item-level media rights before download; keep only openly reusable records/media.",Use only hand-drawn pages with surreal object logic or symbolic ornament; skip straight photographic documentation.
chanel,modern_croquis,Modern Croquis,"Fast editorial croquis, black marker energy, unfinished fitting-room confidence.",croquis | marker fashion sketch | editorial fitting sketch | rapid garment study,quick fashion sketch marker croquis | gestural fashion illustration black marker white highlight | rapid backstage croquis editorial drawing,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,NYPL Public Domain Collections | Smithsonian Open Access | Cooper Hewitt Open Source,https://www.nypl.org/research/collections/digital-collections/public-domain | https://www.si.edu/openaccess | https://www.cooperhewitt.org/open-source-at-cooper-hewitt/,Only keep items surfaced through NYPL public-domain search or item pages that state no restrictions on use. | Only keep items explicitly marked CC0. Skip 'usage conditions apply' and skip non-CC0 media. | Verify item-level media rights before download; keep only openly reusable records/media.,Keep only visibly hand-drawn sketches with rapid gesture lines; skip polished lithographic plates.
mugler,insect_power,Futurist Glamour,"Engineered glamour, sharp shoulders, armored or insect-like couture drama.",futurist costume design | science-fiction costume sketch | armored silhouette drawing,futurist costume design body armor sketch | science fiction fashion illustration insect wing silhouette | power shoulder costume design sharp contour,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,Smithsonian Open Access | Europeana | NYPL Public Domain Collections | Cooper Hewitt Open Source,https://www.si.edu/openaccess | https://www.europeana.eu/en/themes/fashion | https://www.nypl.org/research/collections/digital-collections/public-domain | https://www.cooperhewitt.org/open-source-at-cooper-hewitt/,"Only keep items explicitly marked CC0. Skip 'usage conditions apply' and skip non-CC0 media. | Keep CC0, Public Domain Mark, CC BY, or CC BY-SA only. Skip InC, InC-EDU, NoC-NC, CNE, and other restricted statements. | Only keep items surfaced through NYPL public-domain search or item pages that state no restrictions on use. | Verify item-level media rights before download; keep only openly reusable records/media.",Prefer angular body architecture and high-contrast linework.
galliano,baroque_narrative,Baroque Narrative,"Lavish storytelling, romantic movement, ornamented theatrical costume pages.",baroque costume design | romantic fashion illustration | theatrical watercolor sketch,baroque costume design watercolor ornate sketch | romantic theatrical costume drawing embellished gown | historical fantasy costume design illustration,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,NYPL Public Domain Collections | Europeana | Smithsonian Open Access | The Met Open Access,https://www.nypl.org/research/collections/digital-collections/public-domain | https://www.europeana.eu/en/themes/fashion | https://www.si.edu/openaccess | https://www.metmuseum.org/hubs/open-access,"Only keep items surfaced through NYPL public-domain search or item pages that state no restrictions on use. | Keep CC0, Public Domain Mark, CC BY, or CC BY-SA only. Skip InC, InC-EDU, NoC-NC, CNE, and other restricted statements. | Only keep items explicitly marked CC0. Skip 'usage conditions apply' and skip non-CC0 media. | Only keep records with isPublicDomain=true and a downloadable primaryImage.","Favor pages with visible embellishment notes, layered washes, and narrative costume styling."
gaultier,corset_cabaret,Corset Cabaret,"Body-conscious line, corsetry notation, decadent stagewear and cabaret structure.",corset costume sketch | cabaret costume design | bodice study drawing,corset costume design drawing cabaret stage | structured bodice performance costume sketch | lingerie inspired costume contour drawing,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,NYPL Public Domain Collections | Europeana | Smithsonian Open Access,https://www.nypl.org/research/collections/digital-collections/public-domain | https://www.europeana.eu/en/themes/fashion | https://www.si.edu/openaccess,"Only keep items surfaced through NYPL public-domain search or item pages that state no restrictions on use. | Keep CC0, Public Domain Mark, CC BY, or CC BY-SA only. Skip InC, InC-EDU, NoC-NC, CNE, and other restricted statements. | Only keep items explicitly marked CC0. Skip 'usage conditions apply' and skip non-CC0 media.",Prefer seam and boning readability; avoid pin-up photography masquerading as sketches.
westwood,punk_rococo,Punk Aristocracy,"Historic costume disruption, anarchic linework, rococo volume cut with rebellious attitude.",historical costume sketch | punk costume collage drawing | rococo costume design,punk costume design collage sketch historical dress | rococo costume drawing rebellious styling | deconstructed historical fashion illustration ink,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,NYPL Public Domain Collections | Europeana | Library of Congress | Smithsonian Open Access,https://www.nypl.org/research/collections/digital-collections/public-domain | https://www.europeana.eu/en/themes/fashion | https://www.loc.gov/item/2004550225/ | https://www.si.edu/openaccess,"Only keep items surfaced through NYPL public-domain search or item pages that state no restrictions on use. | Keep CC0, Public Domain Mark, CC BY, or CC BY-SA only. Skip InC, InC-EDU, NoC-NC, CNE, and other restricted statements. | Keep only items whose record says 'Rights Advisory: No known restrictions on publication' or an equivalent unrestricted rights statement. | Only keep items explicitly marked CC0. Skip 'usage conditions apply' and skip non-CC0 media.","Keep asymmetry, tartan-like blocking, and disruptive drape cues where legally reusable."
maison_margiela,artisanal_deconstruction,Deconstructed Modern,"Faint graphite residue, construction marks, pattern-study minimalism, erased edges.",pattern study | garment construction drawing | minimal fashion sketch | atelier draft page,pattern study fashion sketch unfinished graphite | garment construction drawing deconstructed tailoring | minimal fashion study erased graphite seams,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,Cooper Hewitt Open Source | Smithsonian Open Access | The Met Open Access | Europeana,https://www.cooperhewitt.org/open-source-at-cooper-hewitt/ | https://www.si.edu/openaccess | https://www.metmuseum.org/hubs/open-access | https://www.europeana.eu/en/themes/fashion,"Verify item-level media rights before download; keep only openly reusable records/media. | Only keep items explicitly marked CC0. Skip 'usage conditions apply' and skip non-CC0 media. | Only keep records with isPublicDomain=true and a downloadable primaryImage. | Keep CC0, Public Domain Mark, CC BY, or CC BY-SA only. Skip InC, InC-EDU, NoC-NC, CNE, and other restricted statements.","Prefer process pages, seam studies, and pattern annotations over finished glamorous illustrations."
iris_van_herpen,bionic_couture,Bionic Motion,"Biomechanical geometry, wireframe line, technical pen precision, kinetic structure.",technical fashion drawing | wireframe costume sketch | geometric dress study,biomorphic costume design wireframe drawing | geometric fashion illustration technical pen | futuristic dress design lattice sketch,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,Smithsonian Open Access | Cooper Hewitt Open Source | Europeana,https://www.si.edu/openaccess | https://www.cooperhewitt.org/open-source-at-cooper-hewitt/ | https://www.europeana.eu/en/themes/fashion,"Only keep items explicitly marked CC0. Skip 'usage conditions apply' and skip non-CC0 media. | Verify item-level media rights before download; keep only openly reusable records/media. | Keep CC0, Public Domain Mark, CC BY, or CC BY-SA only. Skip InC, InC-EDU, NoC-NC, CNE, and other restricted statements.","Look for lattice, biomorphic shell, and technical-grid qualities."
issey_miyake,pleated_motion,Pleated Velocity,"Pleat logic, fold studies, origami motion, airy sculptural movement.",pleat study | fold diagram | origami garment sketch | movement drawing,pleated garment design study origami sketch | fold study fashion drawing movement | pleat structure costume design illustration,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,Cooper Hewitt Open Source | Smithsonian Open Access | The Met Open Access | Europeana,https://www.cooperhewitt.org/open-source-at-cooper-hewitt/ | https://www.si.edu/openaccess | https://www.metmuseum.org/hubs/open-access | https://www.europeana.eu/en/themes/fashion,"Verify item-level media rights before download; keep only openly reusable records/media. | Only keep items explicitly marked CC0. Skip 'usage conditions apply' and skip non-CC0 media. | Only keep records with isPublicDomain=true and a downloadable primaryImage. | Keep CC0, Public Domain Mark, CC BY, or CC BY-SA only. Skip InC, InC-EDU, NoC-NC, CNE, and other restricted statements.",Prefer visible fold systems and motion marks; skip flat catalog renderings.
courreges,space_age_clean,Space Age Precision,"Clean mod geometry, optical white space, crisp futuristic 1960s drafting.",mod fashion plate | space-age costume drawing | geometric silhouette sketch,mod fashion drawing geometric dress sketch | space age costume design clean line | 1960s futuristic fashion plate geometric silhouette,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,The Met Open Access | Library of Congress | NYPL Public Domain Collections | Europeana,https://www.metmuseum.org/hubs/open-access | https://www.loc.gov/item/2004550225/ | https://www.nypl.org/research/collections/digital-collections/public-domain | https://www.europeana.eu/en/themes/fashion,"Only keep records with isPublicDomain=true and a downloadable primaryImage. | Keep only items whose record says 'Rights Advisory: No known restrictions on publication' or an equivalent unrestricted rights statement. | Only keep items surfaced through NYPL public-domain search or item pages that state no restrictions on use. | Keep CC0, Public Domain Mark, CC BY, or CC BY-SA only. Skip InC, InC-EDU, NoC-NC, CNE, and other restricted statements.",Keep hard-edged geometry and white-ground clarity; avoid noisy painterly treatments.
rabanne,metal_modular,Metallic Modularism,"Modular panel logic, metallic reflection cues, industrial couture assembly.",modular costume sketch | metal dress illustration | industrial fashion drawing,metallic costume design modular dress sketch | disc dress chainmail fashion illustration | industrial couture drawing reflective panels,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,Smithsonian Open Access | Cooper Hewitt Open Source | Europeana | NYPL Public Domain Collections,https://www.si.edu/openaccess | https://www.cooperhewitt.org/open-source-at-cooper-hewitt/ | https://www.europeana.eu/en/themes/fashion | https://www.nypl.org/research/collections/digital-collections/public-domain,"Only keep items explicitly marked CC0. Skip 'usage conditions apply' and skip non-CC0 media. | Verify item-level media rights before download; keep only openly reusable records/media. | Keep CC0, Public Domain Mark, CC BY, or CC BY-SA only. Skip InC, InC-EDU, NoC-NC, CNE, and other restricted statements. | Only keep items surfaced through NYPL public-domain search or item pages that state no restrictions on use.","Favor repeated units, disc or panel construction, and reflective media notes."
gucci,maximalist_romance,Romantic Maximalism,"Layered color, eccentric ornament, retro romantic abundance, expressive page fullness.",ornamental fashion illustration | floral costume sketch | layered color drawing,ornamental fashion illustration layered color sketch | eclectic costume design floral pattern drawing | maximalist dress sketch saturated watercolor,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,The Met Open Access | Europeana | NYPL Public Domain Collections | Smithsonian Open Access,https://www.metmuseum.org/hubs/open-access | https://www.europeana.eu/en/themes/fashion | https://www.nypl.org/research/collections/digital-collections/public-domain | https://www.si.edu/openaccess,"Only keep records with isPublicDomain=true and a downloadable primaryImage. | Keep CC0, Public Domain Mark, CC BY, or CC BY-SA only. Skip InC, InC-EDU, NoC-NC, CNE, and other restricted statements. | Only keep items surfaced through NYPL public-domain search or item pages that state no restrictions on use. | Only keep items explicitly marked CC0. Skip 'usage conditions apply' and skip non-CC0 media.","Prefer rich palette, decorative print notation, and whimsical accessory rhythms drawn on paper."
mcqueen,gothic_theatre,Dark Poise,"Smudged charcoal drama, razor contour, gothic elegance and theatrical tension.",gothic costume design | charcoal fashion sketch | dark theatrical drawing,gothic costume design charcoal fashion sketch | dramatic black fashion illustration sharp silhouette | dark romantic costume drawing smudged charcoal,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,NYPL Public Domain Collections | Smithsonian Open Access | Europeana | The Met Open Access,https://www.nypl.org/research/collections/digital-collections/public-domain | https://www.si.edu/openaccess | https://www.europeana.eu/en/themes/fashion | https://www.metmuseum.org/hubs/open-access,"Only keep items surfaced through NYPL public-domain search or item pages that state no restrictions on use. | Only keep items explicitly marked CC0. Skip 'usage conditions apply' and skip non-CC0 media. | Keep CC0, Public Domain Mark, CC BY, or CC BY-SA only. Skip InC, InC-EDU, NoC-NC, CNE, and other restricted statements. | Only keep records with isPublicDomain=true and a downloadable primaryImage.",Use only hand-drawn dark studies; skip photographed garments on mannequins.
ysl,minimalist_chic,Minimal Precision,"Sparse black ink, sleek tailoring, elegant negative space, tuxedo-like line economy.",minimal fashion sketch | tailoring illustration | ink suit study,minimal fashion sketch tuxedo tailoring | sleek tailoring illustration black ink negative space | precise fashion drawing suit silhouette,runway photo | editorial photo | magazine scan | celebrity | screenshot | logo | watermark | e-commerce product photo,The Met Open Access | Cooper Hewitt Open Source | NYPL Public Domain Collections | Library of Congress,https://www.metmuseum.org/hubs/open-access | https://www.cooperhewitt.org/open-source-at-cooper-hewitt/ | https://www.nypl.org/research/collections/digital-collections/public-domain | https://www.loc.gov/item/2004550225/,Only keep records with isPublicDomain=true and a downloadable primaryImage. | Verify item-level media rights before download; keep only openly reusable records/media. | Only keep items surfaced through NYPL public-domain search or item pages that state no restrictions on use. | Keep only items whose record says 'Rights Advisory: No known restrictions on publication' or an equivalent unrestricted rights statement.,Keep crisp line economy and formal tailoring clarity; avoid decorative overload.
