order,id,repo_style_id,designer,style_en,style_cn,token,trigger_phrase,manuscript_trigger_words,training_caption,training_caption_foundation,training_caption_hybrid,validation_prompt,negative_prompt,research_notes_cn,medium,strokes,vibe,active_lora_run,lora_ready
1,dior,dior,Christian Dior,Parisian Couture,巴黎高定轮廓,paris_new_look,Masterpiece Parisian haute couture fashion illustration.,"vintage fashion croquis, original designer sketch, delicate graphite pencil construction lines, translucent soft watercolor wash, unfinished paper edges, 1950s haute couture manuscript, sweeping hourglass curves","paris_new_look, fashion designer hand sketch, Parisian Couture fashion illustration, vintage fashion croquis, original designer sketch, delicate graphite pencil construction lines, translucent soft watercolor wash, unfinished paper edges, 1950s haute couture manuscript, sweeping hourglass curves, highly expressive, delicate graphite pencil construction lines with a translucent, soft watercolor wash, sweeping elegant curves, poised line control, polished vintage archival sketching, 1950s salon poise, refined couture restraint, elegant and effortless, clean paper ground","fashion designer hand sketch, atelier croquis, expressive graphite construction lines, black ink definition, translucent marker and watercolor rendering, clean ivory paper background, couture presentation page, vintage fashion croquis, original designer sketch, delicate graphite pencil construction lines, translucent soft watercolor wash, unfinished paper edges, 1950s haute couture manuscript, sweeping hourglass curves, highly expressive, delicate graphite pencil construction lines with a translucent, soft watercolor wash, sweeping elegant curves, poised line control, polished vintage archival sketching, 1950s salon poise, refined couture restraint, elegant and effortless","fashion designer hand sketch, atelier croquis, expressive graphite construction lines, black ink definition, translucent marker and watercolor rendering, clean ivory paper background, couture presentation page, paris_new_look, Parisian Couture fashion illustration, vintage fashion croquis, original designer sketch, delicate graphite pencil construction lines, translucent soft watercolor wash, unfinished paper edges, 1950s haute couture manuscript, sweeping hourglass curves, highly expressive, delicate graphite pencil construction lines with a translucent, soft watercolor wash, sweeping elegant curves, poised line control, polished vintage archival sketching, 1950s salon poise, refined couture restraint, elegant and effortless","Masterpiece Parisian haute couture fashion illustration. Medium: highly expressive, delicate graphite pencil construction lines with a translucent, soft watercolor wash. Focus on poised hourglass silhouette, sweeping elegant curves, and polished vintage archival sketching techniques. Authentic 1950s atelier drawing style, elegant and effortless on a clean paper ground. Hand-drawn manuscript reinforcement: vintage fashion croquis, original designer sketch, delicate graphite pencil construction lines, translucent soft watercolor wash, unfinished paper edges, 1950s haute couture manuscript, sweeping hourglass curves.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery",致敬 1950 年代 Dior 御用插画大师 Rene Gruau。强调沙龙里的从容优雅、New Look 式沙漏轮廓，以及水彩半透明的轻柔纸面感。,"highly expressive, delicate graphite pencil construction lines with a translucent, soft watercolor wash","sweeping elegant curves, poised line control, polished vintage archival sketching","1950s salon poise, refined couture restraint, elegant and effortless",paris-new-look-dior-pinterest-batch2,True
2,balenciaga,balenciaga,Cristobal Balenciaga,Sculptural Elegance,建构优雅,architectural_volume,Masterpiece sculptural atelier fashion illustration.,"architectural fashion sketch, original atelier manuscript, cool precise graphite contour lines, restrained flat gouache wash, visible proportion lines, clean white paper background, minimalist structural tailoring cues","architectural_volume, fashion designer hand sketch, Sculptural Elegance fashion illustration, architectural fashion sketch, original atelier manuscript, cool precise graphite contour lines, restrained flat gouache wash, visible proportion lines, clean white paper background, minimalist structural tailoring cues, cool, precise graphite contour lines with restrained, flat gouache wash, measured contours, structural tailoring cues, bold negative space control, cerebral, sculptural, disciplined, quiet atelier precision, clean paper ground","fashion designer hand sketch, atelier croquis, expressive graphite construction lines, black ink definition, translucent marker and watercolor rendering, clean ivory paper background, couture presentation page, architectural fashion sketch, original atelier manuscript, cool precise graphite contour lines, restrained flat gouache wash, visible proportion lines, clean white paper background, minimalist structural tailoring cues, cool, precise graphite contour lines with restrained, flat gouache wash, measured contours, structural tailoring cues, bold negative space control, cerebral, sculptural, disciplined, quiet atelier precision","fashion designer hand sketch, atelier croquis, expressive graphite construction lines, black ink definition, translucent marker and watercolor rendering, clean ivory paper background, couture presentation page, architectural_volume, Sculptural Elegance fashion illustration, architectural fashion sketch, original atelier manuscript, cool precise graphite contour lines, restrained flat gouache wash, visible proportion lines, clean white paper background, minimalist structural tailoring cues, cool, precise graphite contour lines with restrained, flat gouache wash, measured contours, structural tailoring cues, bold negative space control, cerebral, sculptural, disciplined, quiet atelier precision","Masterpiece sculptural atelier fashion illustration. Medium: cool, precise graphite contour lines with restrained, flat gouache wash. Focus on architectural volume, minimalist structural tailoring cues, clean bold negative space, and disciplined fashion croquis techniques. Cerebral and structured. Hand-drawn manuscript reinforcement: architectural fashion sketch, original atelier manuscript, cool precise graphite contour lines, restrained flat gouache wash, visible proportion lines, clean white paper background, minimalist structural tailoring cues.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery",Balenciaga 被称为“时装界的建筑师”。重点不是装饰，而是内部结构、空间控制、茧型和布袋裙等雕塑化体量关系。,"cool, precise graphite contour lines with restrained, flat gouache wash","measured contours, structural tailoring cues, bold negative space control","cerebral, sculptural, disciplined, quiet atelier precision",architectural-volume-balenciaga-batch2,True
3,schiaparelli,schiaparelli,Schiaparelli,Surreal Ornament,超现实华饰,surreal_gold,Masterpiece surreal ornament fashion illustration.,"avant-garde fashion illustration, eccentric designer sketch, sharp aggressive black India ink, striking luminous metallic gold leaf accents, surreal croquis, rough art paper, trompe l'oeil drafting details","surreal_gold, fashion designer hand sketch, Surreal Ornament fashion illustration, avant-garde fashion illustration, eccentric designer sketch, sharp aggressive black India ink, striking luminous metallic gold leaf accents, surreal croquis, rough art paper, trompe l'oeil drafting details, sharp, aggressive black India ink outlines clashing with luminous metallic gold leaf accents, eccentric drafting gestures, trompe l'oeil detailing, sharp decorative contrast, avant-garde couture energy, poetic surreal tension, bold and dramatic, clean paper ground","fashion designer hand sketch, atelier croquis, expressive graphite construction lines, black ink definition, translucent marker and watercolor rendering, clean ivory paper background, couture presentation page, avant-garde fashion illustration, eccentric designer sketch, sharp aggressive black India ink, striking luminous metallic gold leaf accents, surreal croquis, rough art paper, trompe l'oeil drafting details, sharp, aggressive black India ink outlines clashing with luminous metallic gold leaf accents, eccentric drafting gestures, trompe l'oeil detailing, sharp decorative contrast, avant-garde couture energy, poetic surreal tension, bold and dramatic","fashion designer hand sketch, atelier croquis, expressive graphite construction lines, black ink definition, translucent marker and watercolor rendering, clean ivory paper background, couture presentation page, surreal_gold, Surreal Ornament fashion illustration, avant-garde fashion illustration, eccentric designer sketch, sharp aggressive black India ink, striking luminous metallic gold leaf accents, surreal croquis, rough art paper, trompe l'oeil drafting details, sharp, aggressive black India ink outlines clashing with luminous metallic gold leaf accents, eccentric drafting gestures, trompe l'oeil detailing, sharp decorative contrast, avant-garde couture energy, poetic surreal tension, bold and dramatic","Masterpiece surreal ornament fashion illustration. Medium: sharp, aggressive black India ink outlines clashing with striking, luminous metallic gold leaf accents. Eccentric drafting gestures, trompe l'oeil details, poetic surreal tension, avant-garde couture energy, bold and dramatic. Hand-drawn manuscript reinforcement: avant-garde fashion illustration, eccentric designer sketch, sharp aggressive black India ink, striking luminous metallic gold leaf accents, surreal croquis, rough art paper, trompe l'oeil drafting details.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery",Elsa Schiaparelli 与达利合作的超现实语汇非常关键。强调黑色墨线与金属金箔、错视画装饰、戏剧化配件和怪诞张力。,"sharp, aggressive black India ink outlines clashing with luminous metallic gold leaf accents","eccentric drafting gestures, trompe l'oeil detailing, sharp decorative contrast","avant-garde couture energy, poetic surreal tension, bold and dramatic",surreal-gold-schiaparelli-batch3-fast,True
4,lagerfeld,chanel,Karl Lagerfeld,Modern Croquis,现代速写气场,modern_croquis,Masterpiece modern croquis fashion illustration.,"fast backstage fashion sketch, rapid thick black marker strokes, pastel smudges, dynamic white correction-fluid (Tipp-Ex) highlights, messy spontaneous croquis, designer's notebook page","modern_croquis, fashion designer hand sketch, Modern Croquis fashion illustration, fast backstage fashion sketch, rapid thick black marker strokes, pastel smudges, dynamic white correction-fluid (Tipp-Ex) highlights, messy spontaneous croquis, designer's notebook page, rapid, thick black marker strokes, and dynamic white correction-fluid highlights, fast croquis sweeps, abrupt marker accents, live-fitting spontaneity, backstage editorial energy, messy confidence, spontaneous and chic, clean paper ground","fashion designer hand sketch, atelier croquis, expressive graphite construction lines, black ink definition, translucent marker and watercolor rendering, clean ivory paper background, couture presentation page, fast backstage fashion sketch, rapid thick black marker strokes, pastel smudges, dynamic white correction-fluid (Tipp-Ex) highlights, messy spontaneous croquis, designer's notebook page, rapid, thick black marker strokes, and dynamic white correction-fluid highlights, fast croquis sweeps, abrupt marker accents, live-fitting spontaneity, backstage editorial energy, messy confidence, spontaneous and chic","fashion designer hand sketch, atelier croquis, expressive graphite construction lines, black ink definition, translucent marker and watercolor rendering, clean ivory paper background, couture presentation page, modern_croquis, Modern Croquis fashion illustration, fast backstage fashion sketch, rapid thick black marker strokes, pastel smudges, dynamic white correction-fluid (Tipp-Ex) highlights, messy spontaneous croquis, designer's notebook page, rapid, thick black marker strokes, and dynamic white correction-fluid highlights, fast croquis sweeps, abrupt marker accents, live-fitting spontaneity, backstage editorial energy, messy confidence, spontaneous and chic","Masterpiece modern croquis fashion illustration. Medium: rapid, thick black marker strokes, pastel smudges, and dynamic white correction-fluid (Tipp-Ex) highlights. Fast backstage editorial energy, high contrast, intentional messy unfinished sketch feel, spontaneous and chic. Hand-drawn manuscript reinforcement: fast backstage fashion sketch, rapid thick black marker strokes, pastel smudges, dynamic white correction-fluid (Tipp-Ex) highlights, messy spontaneous croquis, designer's notebook page.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery",强调老佛爷后台速写的即时性：粗黑马克笔、眼影盘般的粉彩晕染、白色修正液高光，以及未完成却极有节奏的编辑感。,"rapid, thick black marker strokes, pastel smudges, and dynamic white correction-fluid highlights","fast croquis sweeps, abrupt marker accents, live-fitting spontaneity","backstage editorial energy, messy confidence, spontaneous and chic",modern-croquis-karl-pinterest-batch4,True
5,mugler,mugler,Thierry Mugler,Futurist Glamour,未来戏剧感,insect_power,Masterpiece futurist glamour fashion illustration.,"sci-fi fashion croquis, sharp fineliner pen sketch, glossy reflective marker highlights, hyper-exaggerated hourglass proportions, dramatic runway manuscript, engineered structural detail, sharp technical drawing","insect_power, fashion designer hand sketch, Futurist Glamour fashion illustration, sci-fi fashion croquis, sharp fineliner pen sketch, glossy reflective marker highlights, hyper-exaggerated hourglass proportions, dramatic runway manuscript, engineered structural detail, sharp technical drawing, knife-sharp fineliner contour lines, high-contrast flat marker shading, glossy reflective highlights, engineered linework, hyper-exaggerated hourglass structure, cyborg and insectoid motifs, runway-scale drama, futuristic seduction, hard-edged theatrical glamour, clean paper ground","fashion designer hand sketch, atelier croquis, expressive graphite construction lines, black ink definition, translucent marker and watercolor rendering, clean ivory paper background, couture presentation page, sci-fi fashion croquis, sharp fineliner pen sketch, glossy reflective marker highlights, hyper-exaggerated hourglass proportions, dramatic runway manuscript, engineered structural detail, sharp technical drawing, knife-sharp fineliner contour lines, high-contrast flat marker shading, glossy reflective highlights, engineered linework, hyper-exaggerated hourglass structure, cyborg and insectoid motifs, runway-scale drama, futuristic seduction, hard-edged theatrical glamour","fashion designer hand sketch, atelier croquis, expressive graphite construction lines, black ink definition, translucent marker and watercolor rendering, clean ivory paper background, couture presentation page, insect_power, Futurist Glamour fashion illustration, sci-fi fashion croquis, sharp fineliner pen sketch, glossy reflective marker highlights, hyper-exaggerated hourglass proportions, dramatic runway manuscript, engineered structural detail, sharp technical drawing, knife-sharp fineliner contour lines, high-contrast flat marker shading, glossy reflective highlights, engineered linework, hyper-exaggerated hourglass structure, cyborg and insectoid motifs, runway-scale drama, futuristic seduction, hard-edged theatrical glamour","Masterpiece futurist glamour fashion illustration. Medium: knife-sharp fineliner contour lines, high-contrast flat marker shading, glossy reflective highlights. Hyper-exaggerated hourglass proportions, engineered structural detail, dramatic runway-scale tension, cyborg and insectoid motifs. Hand-drawn manuscript reinforcement: sci-fi fashion croquis, sharp fineliner pen sketch, glossy reflective marker highlights, hyper-exaggerated hourglass proportions, dramatic runway manuscript, engineered structural detail, sharp technical drawing.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery",Mugler 草图带有昆虫、机械体和超夸张沙漏形的未来身体观。重点是黑白反差、反光乳胶与金属质感、舞台级张力。,"knife-sharp fineliner contour lines, high-contrast flat marker shading, glossy reflective highlights","engineered linework, hyper-exaggerated hourglass structure, cyborg and insectoid motifs","runway-scale drama, futuristic seduction, hard-edged theatrical glamour",insect-power-second-batch-mugler-v2,True
6,galliano,galliano,John Galliano,Baroque Narrative,华丽叙事,baroque_narrative,Masterpiece baroque narrative fashion illustration.,"chaotic romantic fashion sketch, expressive swirling ink linework, lavish opulent watercolor layering, embellished historical dressmaking annotations, artist's sketchbook page, theatrical manuscript","baroque_narrative, fashion designer hand sketch, Baroque Narrative fashion illustration, chaotic romantic fashion sketch, expressive swirling ink linework, lavish opulent watercolor layering, embellished historical dressmaking annotations, artist's sketchbook page, theatrical manuscript, expressive, swirling ink linework with lavish, opulent watercolor layering, historical dressmaking annotations, passionate movement, raw embellished notation, chaotic beauty, dramatic narrative, romantic theatricality, raw and passionate, clean paper ground","fashion designer hand sketch, atelier croquis, expressive graphite construction lines, black ink definition, translucent marker and watercolor rendering, clean ivory paper background, couture presentation page, chaotic romantic fashion sketch, expressive swirling ink linework, lavish opulent watercolor layering, embellished historical dressmaking annotations, artist's sketchbook page, theatrical manuscript, expressive, swirling ink linework with lavish, opulent watercolor layering, historical dressmaking annotations, passionate movement, raw embellished notation, chaotic beauty, dramatic narrative, romantic theatricality, raw and passionate","fashion designer hand sketch, atelier croquis, expressive graphite construction lines, black ink definition, translucent marker and watercolor rendering, clean ivory paper background, couture presentation page, baroque_narrative, Baroque Narrative fashion illustration, chaotic romantic fashion sketch, expressive swirling ink linework, lavish opulent watercolor layering, embellished historical dressmaking annotations, artist's sketchbook page, theatrical manuscript, expressive, swirling ink linework with lavish, opulent watercolor layering, historical dressmaking annotations, passionate movement, raw embellished notation, chaotic beauty, dramatic narrative, romantic theatricality, raw and passionate","Masterpiece baroque narrative fashion illustration. Medium: expressive, swirling ink linework, lavish and opulent watercolor layering, embellished historical dressmaking annotations, and romantic theatrical movement. Chaotic beauty, dramatic narrative, raw and passionate edge. Hand-drawn manuscript reinforcement: chaotic romantic fashion sketch, expressive swirling ink linework, lavish opulent watercolor layering, embellished historical dressmaking annotations, artist's sketchbook page, theatrical manuscript.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery",Galliano 的手稿像一部疯狂的历史小说：旋涡般墨线、水彩泼溅、服装史和面料批注并行，带着失控而华美的戏剧叙事。,"expressive, swirling ink linework with lavish, opulent watercolor layering","historical dressmaking annotations, passionate movement, raw embellished notation","chaotic beauty, dramatic narrative, romantic theatricality, raw and passionate",baroque-narrative-galliano-pinterest-batch4,True
7,gaultier,gaultier,Jean Paul Gaultier,Corset Cabaret,紧身华宴,corset_cabaret,Masterpiece corset cabaret fashion illustration.,"cabaret fashion croquis, precise tattoo-like black contour lines, intricate ballpoint pen corsetry seam notation, body-conscious sketch, subversive atelier manuscript, ballpoint pen draft","corset_cabaret, fashion designer hand sketch, Corset Cabaret fashion illustration, cabaret fashion croquis, precise tattoo-like black contour lines, intricate ballpoint pen corsetry seam notation, body-conscious sketch, subversive atelier manuscript, ballpoint pen draft, precise tattoo-like black contour lines with intricate ballpoint pen corsetry seam notation, body-conscious contour tracing, cabaret styling cues, fetish-tailoring seam detail, subversive, playful, sensual, decadent editorial tension, clean paper ground","fashion designer hand sketch, atelier croquis, expressive graphite construction lines, black ink definition, translucent marker and watercolor rendering, clean ivory paper background, couture presentation page, cabaret fashion croquis, precise tattoo-like black contour lines, intricate ballpoint pen corsetry seam notation, body-conscious sketch, subversive atelier manuscript, ballpoint pen draft, precise tattoo-like black contour lines with intricate ballpoint pen corsetry seam notation, body-conscious contour tracing, cabaret styling cues, fetish-tailoring seam detail, subversive, playful, sensual, decadent editorial tension","fashion designer hand sketch, atelier croquis, expressive graphite construction lines, black ink definition, translucent marker and watercolor rendering, clean ivory paper background, couture presentation page, corset_cabaret, Corset Cabaret fashion illustration, cabaret fashion croquis, precise tattoo-like black contour lines, intricate ballpoint pen corsetry seam notation, body-conscious sketch, subversive atelier manuscript, ballpoint pen draft, precise tattoo-like black contour lines with intricate ballpoint pen corsetry seam notation, body-conscious contour tracing, cabaret styling cues, fetish-tailoring seam detail, subversive, playful, sensual, decadent editorial tension","Masterpiece corset cabaret fashion illustration. Medium: precise tattoo-like black contour lines, intricate ballpoint pen corsetry seam notation. Body-conscious proportions, performance styling cues, decadent editorial tension, subversive and playful sensuality. Hand-drawn manuscript reinforcement: cabaret fashion croquis, precise tattoo-like black contour lines, intricate ballpoint pen corsetry seam notation, body-conscious sketch, subversive atelier manuscript, ballpoint pen draft.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery",Jean Paul Gaultier 的画面常把水手、束身胸衣、内衣外穿与纹身式线条混在一起，重点在身体意识和表演性时尚。,precise tattoo-like black contour lines with intricate ballpoint pen corsetry seam notation,"body-conscious contour tracing, cabaret styling cues, fetish-tailoring seam detail","subversive, playful, sensual, decadent editorial tension",corset-cabaret-gaultier-batch4,True
